id_objects;name_type_object;name_objects;address;location;created_by;osm_id
151;Кафе;Утро;;0101000020E6100000EAEC647094FD4B403E25427E915D4B40;1;2004754312
152;Кафе;Nature Bakery;;0101000020E6100000695F2F0384FB4B4023D1706F235E4B40;1;2362979229
153;Кафе;Берег;;0101000020E6100000555A35BEE5FB4B407E07F5E3E55E4B40;1;2558159260
154;Кафе;Пышка;;0101000020E61000007AF9426DC0FA4B40BEE5A03A0C5F4B40;1;3224493773
155;Кафе;бистро Зухрушка;;0101000020E610000068FFA8F2E2FD4B401BA6118EB45F4B40;1;3224493778
156;Кафе;Альдо;Комсомольская улица 16/1;0101000020E610000067028FB97CFF4B40945D7A45015F4B40;1;3810081724
157;Кафе;Баскин Роббинс;;0101000020E6100000115663096BFE4B404C4E9253E05E4B40;1;4432418011
158;Кафе;Тема Бар;;0101000020E6100000F534BB4967FE4B409CEC551AE75E4B40;1;4432422302
159;Кафе;Стейк-хаус Нью-Йорк;;0101000020E61000001E4FCB0F5CFA4B40DE793DF3CD5D4B40;1;4689436989
160;Кафе;Халяль Кафе;;0101000020E610000055A75E12C2FB4B40EF3B86C77E604B40;1;5299021323
161;Кафе;Элфи;;0101000020E6100000AF88505BD9FB4B402AC93A1C5D5E4B40;1;6215729173
162;Кафе;Coffee Like;;0101000020E6100000B4C1D375F2FF4B408D80650003604B40;1;6536734333
163;Кафе;Coffee Like;;0101000020E6100000DF313CF6B3F94B40C5083C8B395E4B40;1;6536734334
164;Кафе;Coffee Like;;0101000020E61000004D3162FAB9FA4B400921D6D1275E4B40;1;6536734338
165;Кафе;Coffee Like;;0101000020E6100000612E4E21FCFE4B405EAA8889BC5E4B40;1;7208560961
166;Кафе;Coffee Like;;0101000020E6100000E933565172FE4B407CAD951AEB5E4B40;1;7208560970
167;Кафе;Народная столовая;;0101000020E610000080C63B7606FC4B40561234C1CB5D4B40;1;9007031317
168;Кафе;Хинкальная;;0101000020E610000064A7696160FB4B403414D2753C5E4B40;1;9775406567
169;Кафе;Coffee Like;;0101000020E61000007D748F11F5F94B40B31886D9155E4B40;1;9919196933
170;Кафе;Coffee Like;;0101000020E6100000D611D1F93AFC4B408F9FD7E9515E4B40;1;9919196934
171;Кафе;Фудзияма суши;;0101000020E6100000B43D7AC37DFA4B40FF8870DDDE5D4B40;1;10083732518
172;Кафе;Халяль;;0101000020E6100000D869FF5E65FA4B4065B26E72AE5D4B40;1;10083732529
173;Кафе;Coffee Like;;0101000020E6100000290C25EE0CFF4B406B7418DD8B5F4B40;1;10090064341
174;Кафе;Kumpan;;0101000020E610000042E2C391ACF94B409A7741E9B05D4B40;1;10095822499
175;Кафе;Щавель;;0101000020E610000082925DC4D2FE4B40A13028D3685E4B40;1;10105903364
176;Кафе;Трын-трава;;0101000020E610000085FA4CAC42FF4B40FA073653C65F4B40;1;10282619000
177;Кафе;Вкус House;;0101000020E6100000A59B69673DFC4B40A6F0A0D9755D4B40;1;10671216493
178;Кафе;Coffee Like;;0101000020E610000045BC75FEEDF94B4030575062215E4B40;1;10837414677
179;Кафе;Баракат;;0101000020E61000001C261AA4E0F94B402B3BB313145E4B40;1;10837414681
180;Кафе;Aloha;;0101000020E61000009D989AA9B5F94B407C708802C75D4B40;1;10837414691
181;Кафе;Monkey Grinder;;0101000020E61000008286A350BBF94B40B6AADB8FCA5D4B40;1;10837414692
182;Кафе;Cool Beans;;0101000020E6100000A4648396BFF94B40B33F506EDB5D4B40;1;10837414696
183;Кафе;Basilico;;0101000020E610000026A4DA4C2AFA4B405C97755A125E4B40;1;10837455429
184;Кафе;Здоровая еда;;0101000020E610000020C88B964DFA4B40D6DFB7C60C5E4B40;1;10837455435
185;Кафе;Баракат;;0101000020E6100000E7CD3C1460FA4B404AF5F818075E4B40;1;10837455436
186;Кафе;Dostoevsky;;0101000020E6100000E93B09B65BFA4B402B73A900CE5D4B40;1;10837543951
187;Кафе;Фудзияма;;0101000020E6100000DE41470614FF4B402D095053CB5E4B40;1;10868873024
188;Кафе;Надежда;;0101000020E6100000884446AC6AFF4B406A1D0BC0F55D4B40;1;10881881745
189;Кафе;Звали на хинкали;;0101000020E6100000BC1C1B26BFFE4B40CD599F724C5F4B40;1;10902742208
190;Кафе;Alan;;0101000020E6100000BCCB457C27FC4B40A428E1534A5E4B40;1;10964054219
191;Кафе;8 марта;;0101000020E61000005D2B4602B2FC4B40B648DA8D3E5E4B40;1;10964057188
192;Кафе;Баракат;;0101000020E6100000E002BFFC04FF4B40B9E7548DB95E4B40;1;11003311202
193;Кафе;Мама варит кофе;;0101000020E61000006BF5300FF4FB4B404E9F7829D05D4B40;1;11065603197
194;Кафе;Душа;;0101000020E610000090BB085394FB4B4027A089B0E15D4B40;1;11065603204
